frame_idx,sensor_rmse,sensor_mae,sensor_abs_rel,sensor_delta_125,da3_rmse,da3_mae,da3_abs_rel,da3_delta_125,v9_rmse,v9_mae,v9_abs_rel,v9_delta_125,fused_da3_rmse,fused_da3_mae,fused_da3_abs_rel,fused_da3_delta_125,fused_v9_rmse,fused_v9_mae,fused_v9_abs_rel,fused_v9_delta_125,sensor_valid_pct,dead_pct
20,0.0,0.0,0.0,100.0,0.7130957245826721,0.3583078682422638,0.2767675817012787,44.23167293233083,1.355163335800171,0.8900741338729858,1.4273450374603271,19.54299812030075,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.166666666666668,77.83333333333333
21,0.0,0.0,0.0,100.0,0.6972176432609558,0.34375354647636414,0.26418501138687134,49.35531351192228,1.3591327667236328,0.9045640826225281,1.4444655179977417,18.93435384162496,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.115885416666668,77.88411458333333
22,0.0,0.0,0.0,100.0,0.6699274182319641,0.33514881134033203,0.26285335421562195,49.52206750059004,1.4179184436798096,0.9457387328147888,1.518145203590393,18.008024545669105,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.067708333333332,77.93229166666666
23,0.0,0.0,0.0,100.0,0.6855971813201904,0.35325148701667786,0.2710735499858856,45.74411608564856,1.3758009672164917,0.9159954786300659,1.4636131525039673,18.580782162449125,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.07421875,77.92578125
24,0.0,0.0,0.0,100.0,0.6835291385650635,0.3487997055053711,0.27240297198295593,46.39041378903252,1.3607592582702637,0.9100396633148193,1.4529335498809814,17.96233988548492,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.05859375,77.94140625
25,0.0,0.0,0.0,100.0,0.6874885559082031,0.3436375856399536,0.26887258887290955,46.292668447610566,1.2944483757019043,0.8505734801292419,1.3956375122070312,19.780350252300387,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.93359375,78.06640625
26,0.0,0.0,0.0,100.0,0.7179876565933228,0.3722396194934845,0.27666398882865906,40.3808506851753,1.3451447486877441,0.8917563557624817,1.4438495635986328,18.692531292638073,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.94921875,78.05078125
27,0.0,0.0,0.0,100.0,0.7198219895362854,0.3728998899459839,0.2951357364654541,39.72700296735905,1.3524303436279297,0.8897009491920471,1.4107855558395386,18.682492581602375,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.940104166666664,78.05989583333334
28,0.0,0.0,0.0,100.0,0.717536449432373,0.3751615583896637,0.3129006028175354,38.03659186452721,1.4040961265563965,0.9388512969017029,1.4926255941390991,17.41370122564983,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.990885416666668,78.00911458333334
29,0.0,0.0,0.0,100.0,0.7139506936073303,0.3733060956001282,0.3042513132095337,37.47550911357834,1.3695451021194458,0.9174519777297974,1.4691532850265503,17.419699578459895,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.930989583333332,78.06901041666666
30,0.0,0.0,0.0,100.0,0.748697817325592,0.38711124658584595,0.2849826514720917,39.71829311779389,1.3588340282440186,0.9086639285087585,1.4670387506484985,17.520503981932723,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.908854166666668,78.09114583333333
31,0.0,0.0,0.0,100.0,0.7620488405227661,0.4353931248188019,0.3466179370880127,26.058882767608555,1.346343755722046,0.9017415642738342,1.4458348751068115,17.522658610271904,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.98046875,78.01953125
32,0.0,0.0,0.0,100.0,0.7673419713973999,0.4362199306488037,0.34167543053627014,26.5576877517176,1.3498222827911377,0.9025386571884155,1.4456666707992554,17.892679459843638,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.984375,78.015625
33,0.0,0.0,0.0,100.0,0.7519630193710327,0.41903552412986755,0.3129560351371765,32.07825984158884,1.349452257156372,0.8932520747184753,1.4460786581039429,18.489183118571937,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,22.028645833333332,77.97135416666666
34,0.0,0.0,0.0,100.0,0.7458059191703796,0.40550631284713745,0.30141547322273254,32.99158468649994,1.3441320657730103,0.8963067531585693,1.4381153583526611,18.489984591679505,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.971354166666668,78.02864583333333
35,0.0,0.0,0.0,100.0,0.7421209812164307,0.4101649522781372,0.31591352820396423,29.15256250371162,1.4106694459915161,0.9417353272438049,1.5241386890411377,17.964249658530793,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.92578125,78.07421875
36,0.0,0.0,0.0,100.0,0.7528235912322998,0.4168431758880615,0.30763185024261475,32.57966886238206,1.2888476848602295,0.8550912141799927,1.3819879293441772,19.037445848911045,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.94140625,78.05859375
37,0.0,0.0,0.0,100.0,0.776003360748291,0.42498502135276794,0.3001863956451416,36.65853223022439,1.0652437210083008,0.7461034059524536,1.2480978965759277,20.201178501279685,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.876302083333332,78.12369791666667
38,0.0,0.0,0.0,100.0,0.7764822840690613,0.4191969335079193,0.3033559322357178,35.86434573829532,1.2216912508010864,0.8475286364555359,1.4287583827972412,19.40576230492197,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.692708333333332,78.30729166666667
39,0.0,0.0,0.0,100.0,0.7932736277580261,0.42610621452331543,0.29766497015953064,38.77045715320973,1.0572439432144165,0.7328571081161499,1.2373381853103638,19.952895706262456,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.561197916666668,78.43880208333334
40,0.0,0.0,0.0,100.0,0.7928630113601685,0.4338986277580261,0.30086320638656616,39.1463122605364,0.8382401466369629,0.5843936800956726,0.9616928100585938,24.455220306513407,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.75,78.25
41,0.0,0.0,0.0,100.0,0.8004011511802673,0.43995437026023865,0.30299681425094604,38.10711316945731,1.0068470239639282,0.6725006103515625,1.0141408443450928,19.546372164826032,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.9296875,78.0703125
42,0.0,0.0,0.0,100.0,0.8069401979446411,0.4366668164730072,0.29296255111694336,41.00473592710269,0.8354954123497009,0.5515565276145935,0.7975365519523621,26.68904741921947,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.720052083333332,78.27994791666667
43,0.0,0.0,0.0,100.0,0.7948058843612671,0.4239349067211151,0.2881617844104767,43.089921544960774,0.8588340282440186,0.5872808694839478,0.8593620657920837,23.126131563065783,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.575520833333332,78.42447916666667
44,0.0,0.0,0.0,100.0,0.7959390878677368,0.42020219564437866,0.279862642288208,47.73084836015975,1.0325216054916382,0.7341638803482056,1.1173661947250366,17.384727096696114,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.518229166666668,78.48177083333333
45,0.0,0.0,0.0,100.0,0.7956266403198242,0.4206961393356323,0.2795654535293579,50.25684414093189,1.0741795301437378,0.7862805128097534,1.212682843208313,13.561370641203844,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.545572916666668,78.45442708333333
46,0.0,0.0,0.0,100.0,0.7840434312820435,0.4250274896621704,0.29123181104660034,46.97615758813284,1.0759223699569702,0.7906708717346191,1.2302416563034058,10.84018977839169,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.680989583333332,78.31901041666667
47,0.0,0.0,0.0,100.0,0.7566919326782227,0.420555979013443,0.2947123050689697,50.129136885098205,0.9359530806541443,0.63629549741745,0.9540022611618042,21.202474623100485,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.678385416666668,78.32161458333333
48,0.0,0.0,0.0,100.0,0.7063794136047363,0.3902890384197235,0.2737710475921631,56.07798165137615,1.0424082279205322,0.75876384973526,1.1596137285232544,14.823756639304683,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.572916666666668,78.42708333333334
49,0.0,0.0,0.0,100.0,0.680458664894104,0.3693234324455261,0.26976972818374634,59.48645667361197,1.2319929599761963,0.9449192881584167,1.5924159288406372,9.247456796176003,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.247395833333332,78.75260416666666
50,0.0,0.0,0.0,100.0,0.7066130042076111,0.38104915618896484,0.2764854431152344,55.73215055750631,1.5306020975112915,1.2130968570709229,2.067413806915283,6.258855417975728,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.13671875,78.86328125
51,0.0,0.0,0.0,100.0,0.6918525695800781,0.37936288118362427,0.2777404189109802,54.410491154274396,1.4174062013626099,1.0622329711914062,1.7470930814743042,8.270444142026475,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,21.049479166666664,78.95052083333334
52,0.0,0.0,0.0,100.0,0.6453667879104614,0.3528948128223419,0.2663199007511139,53.41630523602991,1.7154322862625122,1.19588303565979,1.956357479095459,10.17662958074046,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.71484375,79.28515625
53,0.0,0.0,0.0,100.0,0.6524450778961182,0.35495272278785706,0.2747001051902771,50.19346653980337,2.5427284240722656,1.6345032453536987,2.7536051273345947,10.155407548366636,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.52734375,79.47265625
54,0.0,0.0,0.0,100.0,0.6922683119773865,0.3692878186702728,0.2735115587711334,48.981534361317344,2.463892936706543,1.658331274986267,2.8591065406799316,12.145440700552065,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.51953125,79.48046875
55,0.0,0.0,0.0,100.0,0.7006630301475525,0.3840940594673157,0.28554874658584595,44.836143811644924,2.502497434616089,1.6424163579940796,2.821485757827759,10.894050270442253,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.462239583333332,79.53776041666667
56,0.0,0.0,0.0,100.0,0.69768887758255,0.40369170904159546,0.31013721227645874,36.23613413234732,2.50538969039917,1.6828968524932861,2.9555585384368896,15.803901568277446,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.424479166666668,79.57552083333333
57,0.0,0.0,0.0,100.0,0.7076708078384399,0.401065468788147,0.3045007586479187,36.523449895284635,2.306783676147461,1.5252470970153809,2.6856765747070312,15.992892047978676,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.516927083333332,79.48307291666666
58,0.0,0.0,0.0,100.0,0.743669331073761,0.41551557183265686,0.306137353181839,36.616551015163196,2.374429225921631,1.5866450071334839,2.7879817485809326,14.443587766640967,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.265625,79.734375
59,0.0,0.0,0.0,100.0,0.7228955626487732,0.4124301075935364,0.3185323178768158,30.225325293557603,2.401543378829956,1.7065231800079346,3.0590806007385254,11.98984449381149,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.514322916666668,79.48567708333333
60,0.0,0.0,0.0,100.0,0.6883282661437988,0.38137683272361755,0.2993185818195343,38.824203092193166,2.4603800773620605,1.7131587266921997,3.0181374549865723,8.595788000254503,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.46484375,79.53515625
61,0.0,0.0,0.0,100.0,0.6419984102249146,0.3496994972229004,0.29085293412208557,40.35716613439354,1.9764482975006104,1.4204671382904053,2.5604920387268066,11.692628560255491,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,19.977864583333332,80.02213541666666
62,0.0,0.0,0.0,100.0,0.5524004101753235,0.3212180733680725,0.27837488055229187,49.894642743119846,2.2233026027679443,1.5518141984939575,2.7543864250183105,10.37609348062065,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,20.391927083333332,79.60807291666666
