frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00040,A6,0.259659,0.237079,0.691803,0.044238,0.150000,0.250000,904,498,0.1927,195.42
00045,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,490,490,0.0900,20.08
00045,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,490,490,0.1785,67.80
00045,A2,0.449541,0.348123,1.000000,0.043134,0.150000,0.250000,1090,490,0.0900,95.30
00045,A3,0.449541,0.348123,1.000000,0.043134,0.150000,0.250000,1090,490,0.1785,144.37
00045,A4,0.268807,0.243458,0.699346,0.043134,0.150000,0.250000,893,490,0.1449,141.39
00045,A5,0.449541,0.348123,1.000000,0.043134,0.150000,0.250000,1090,490,0.1851,216.36
00045,A6,0.268807,0.243458,0.699346,0.043134,0.150000,0.250000,893,490,0.1928,196.09
00050,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.0900,15.03
00050,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.1782,71.75
00050,A2,0.445262,0.345890,1.000000,0.043331,0.150000,0.250000,1087,484,0.0900,85.05
00050,A3,0.445262,0.345890,1.000000,0.043331,0.150000,0.250000,1087,484,0.1782,139.06
00050,A4,0.264949,0.240868,0.696370,0.043331,0.150000,0.250000,891,484,0.1450,141.26
00050,A5,0.445262,0.345890,1.000000,0.043331,0.150000,0.250000,1087,484,0.1847,225.22
00050,A6,0.264949,0.240868,0.696370,0.043331,0.150000,0.250000,891,484,0.1923,210.28
00055,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,493,493,0.0900,16.34
00055,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,493,493,0.1781,66.18
00055,A2,0.463782,0.362049,1.000000,0.040987,0.150000,0.250000,1063,493,0.0900,90.20
00055,A3,0.463782,0.362049,1.000000,0.040987,0.150000,0.250000,1063,493,0.1781,137.83
00055,A4,0.276576,0.246799,0.681672,0.040987,0.150000,0.250000,864,493,0.1446,143.98
00055,A5,0.463782,0.362049,1.000000,0.040987,0.150000,0.250000,1063,493,0.1837,209.24
00055,A6,0.276576,0.246799,0.681672,0.040987,0.150000,0.250000,864,493,0.1920,193.42
00060,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.0900,12.97
00060,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,484,484,0.1783,49.63
00060,A2,0.458768,0.360094,1.000000,0.041032,0.150000,0.250000,1055,484,0.0900,78.61
00060,A3,0.458768,0.360094,1.000000,0.041032,0.150000,0.250000,1055,484,0.1783,114.23
00060,A4,0.271090,0.250295,0.695082,0.041032,0.150000,0.250000,857,484,0.1448,116.13
00060,A5,0.458768,0.360094,1.000000,0.041032,0.150000,0.250000,1055,484,0.1845,178.06
00060,A6,0.271090,0.250295,0.695082,0.041032,0.150000,0.250000,857,484,0.1925,165.40
00065,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,482,482,0.0900,15.10
00065,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,482,482,0.1788,63.72
00065,A2,0.429590,0.331863,1.000000,0.045984,0.150000,0.250000,1122,482,0.0900,88.73
00065,A3,0.429590,0.331863,1.000000,0.045984,0.150000,0.250000,1122,482,0.1788,142.51
00065,A4,0.254011,0.228225,0.687708,0.045984,0.150000,0.250000,925,482,0.1460,137.90
00065,A5,0.429590,0.331863,1.000000,0.045984,0.150000,0.250000,1122,482,0.1845,205.50
00065,A6,0.254011,0.228225,0.687708,0.045984,0.150000,0.250000,925,482,0.1920,190.51
00070,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,503,503,0.0900,13.82
00070,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,503,503,0.1784,64.19
00070,A2,0.429915,0.329787,1.000000,0.047996,0.150000,0.250000,1170,503,0.0900,82.66
00070,A3,0.429915,0.329787,1.000000,0.047996,0.150000,0.250000,1170,503,0.1784,131.14
00070,A4,0.249573,0.223404,0.677419,0.047996,0.150000,0.250000,959,503,0.1456,137.25
00070,A5,0.429915,0.329787,1.000000,0.047996,0.150000,0.250000,1170,503,0.1865,196.89
00070,A6,0.249573,0.223404,0.677419,0.047996,0.150000,0.250000,959,503,0.1944,183.39
00075,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,519,519,0.0900,15.28
00075,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,519,519,0.1787,66.21
00075,A2,0.433584,0.326109,1.000000,0.048844,0.150000,0.250000,1197,519,0.0900,88.63
00075,A3,0.433584,0.326109,1.000000,0.048844,0.150000,0.250000,1197,519,0.1787,138.89
00075,A4,0.265664,0.231166,0.708861,0.048844,0.150000,0.250000,996,519,0.1451,136.99
00075,A5,0.433584,0.326109,1.000000,0.048844,0.150000,0.250000,1197,519,0.1874,210.88
00075,A6,0.265664,0.231166,0.708861,0.048844,0.150000,0.250000,996,519,0.1945,195.37
