frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
000010,A2,0.935065,0.919289,1.000000,0.004042,0.850000,0.901388,847,792,0.0900,42.04
000010,A3,0.935065,0.919289,1.000000,0.004042,0.850000,0.901388,847,792,0.1309,71.12
000010,A4,0.932704,0.915185,0.995536,0.004042,0.850000,0.901388,845,792,0.1350,51.61
000011,Baseline,1.000000,1.000000,1.000000,0.000000,0.776209,0.776209,446,446,0.0900,20.14
000011,A1,1.000000,1.000000,1.000000,0.000000,0.776209,0.776209,446,446,0.1484,44.21
000011,A2,0.828996,0.799054,1.000000,0.006593,0.667083,0.776209,538,446,0.0900,39.70
000011,A3,0.828996,0.799054,1.000000,0.006593,0.667083,0.776209,538,446,0.1484,63.54
000011,A4,0.810409,0.773050,0.967456,0.006593,0.667083,0.776209,528,446,0.1573,44.70
000012,Baseline,1.000000,1.000000,1.000000,0.000000,0.670820,0.670820,469,469,0.0900,20.19
000012,A1,1.000000,1.000000,1.000000,0.000000,0.670820,0.670820,469,469,0.1571,44.10
000012,A2,0.748006,0.680585,1.000000,0.011342,0.650000,0.670820,627,469,0.0900,40.09
000012,A3,0.748006,0.680585,1.000000,0.011342,0.650000,0.670820,627,469,0.1571,62.59
000012,A4,0.700159,0.615866,0.904908,0.011342,0.650000,0.670820,597,469,0.1635,44.35
000013,Baseline,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,305,305,0.0900,16.89
000013,A1,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,305,305,0.1614,41.27
000013,A2,0.495130,0.416300,1.000000,0.022065,0.471699,0.492443,616,305,0.0900,37.32
000013,A3,0.495130,0.416300,1.000000,0.022065,0.471699,0.492443,616,305,0.1614,62.54
000013,A4,0.404221,0.317181,0.761905,0.022065,0.471699,0.492443,560,305,0.1610,47.13
000014,Baseline,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,303,303,0.0900,16.20
000014,A1,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,303,303,0.1800,38.27
000014,A2,0.459788,0.390852,1.000000,0.025254,0.316228,0.316228,659,303,0.0900,35.89
000014,A3,0.459788,0.390852,1.000000,0.025254,0.316228,0.316228,659,303,0.1800,59.60
000014,A4,0.430956,0.343035,0.877660,0.025254,0.364005,0.316228,640,303,0.1800,46.35
000015,Baseline,1.000000,1.000000,1.000000,0.000000,0.300000,0.300000,367,367,0.0900,15.27
000015,A1,1.000000,1.000000,1.000000,0.000000,0.300000,0.300000,367,367,0.1800,36.05
000015,A2,0.787554,0.765079,1.000000,0.007055,0.300000,0.300000,466,367,0.0900,25.02
000015,A3,0.787554,0.765079,1.000000,0.007055,0.300000,0.300000,466,367,0.1800,46.48
000015,A4,0.309013,0.250794,0.327801,0.007055,0.300000,0.300000,243,367,0.1800,33.37
000016,Baseline,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,769,769,0.0900,18.55
000016,A1,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,769,769,0.1475,47.81
000016,A2,0.840437,0.823212,1.000000,0.010711,0.316228,0.316228,915,769,0.0900,39.30
000016,A3,0.840437,0.823212,1.000000,0.010711,0.316228,0.316228,915,769,0.1475,68.00
000016,A4,0.816393,0.804318,0.977049,0.010711,0.492443,0.316228,893,769,0.1411,46.38
000017,Baseline,1.000000,1.000000,1.000000,0.000000,0.380789,0.380789,772,772,0.0900,19.16
000017,A1,1.000000,1.000000,1.000000,0.000000,0.380789,0.380789,772,772,0.1447,46.73
000017,A2,0.873303,0.854951,1.000000,0.008218,0.380789,0.380789,884,772,0.0900,40.49
000017,A3,0.873303,0.854951,1.000000,0.008218,0.380789,0.380789,884,772,0.1447,67.93
000017,A4,0.852941,0.835425,0.977162,0.008218,0.514782,0.380789,866,772,0.1413,51.57
000018,Baseline,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,711,711,0.0900,17.78
000018,A1,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,711,711,0.1481,49.91
000018,A2,0.876695,0.879699,1.000000,0.007305,0.427200,0.447214,811,711,0.0900,38.64
000018,A3,0.876695,0.879699,1.000000,0.007305,0.427200,0.447214,811,711,0.1481,65.05
000018,A4,0.853268,0.861654,0.979487,0.007305,0.427200,0.447214,792,711,0.1620,49.93
000019,Baseline,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,686,686,0.0900,16.64
000019,A1,1.000000,1.000000,1.000000,0.000000,0.447214,0.447214,686,686,0.1477,38.17
000019,A2,0.914667,0.905213,1.000000,0.004667,0.447214,0.447214,750,686,0.0900,35.76
000019,A3,0.914667,0.905213,1.000000,0.004667,0.447214,0.447214,750,686,0.1477,57.37
000019,A4,0.890667,0.887836,0.980803,0.004667,0.950000,0.447214,732,686,0.1261,44.55
000020,Baseline,1.000000,1.000000,1.000000,0.000000,0.939415,0.939415,694,694,0.0900,15.72
000020,A1,1.000000,1.000000,1.000000,0.000000,0.939415,0.939415,694,694,0.1323,39.05
000020,A2,0.908377,0.902141,1.000000,0.005107,0.939415,0.939415,764,694,0.0900,37.09
000020,A3,0.908377,0.902141,1.000000,0.005107,0.939415,0.939415,764,694,0.1323,59.04
000020,A4,0.901832,0.892966,0.989831,0.005107,0.950000,0.939415,759,694,0.1276,45.29
000021,Baseline,1.000000,1.000000,1.000000,0.000000,0.873212,0.873212,733,733,0.0900,18.98
000021,A1,1.000000,1.000000,1.000000,0.000000,0.873212,0.873212,733,733,0.1374,43.27
000021,A2,0.910559,0.900862,1.000000,0.005268,0.873212,0.873212,805,733,0.0900,38.78
000021,A3,0.910559,0.900862,1.000000,0.005268,0.873212,0.873212,805,733,0.1374,65.95
000021,A4,0.906832,0.895115,0.993620,0.005268,0.894427,0.873212,802,733,0.1324,46.94
000022,Baseline,1.000000,1.000000,1.000000,0.000000,0.782624,0.782624,778,778,0.0900,20.63
000022,A1,1.000000,1.000000,1.000000,0.000000,0.782624,0.782624,778,778,0.1420,59.78
000022,A2,0.902552,0.891566,1.000000,0.006166,0.715891,0.782624,862,778,0.0900,49.83
000022,A3,0.902552,0.891566,1.000000,0.006166,0.715891,0.782624,862,778,0.1420,77.66
000022,A4,0.886311,0.870147,0.975976,0.006166,0.715891,0.782624,848,778,0.1408,59.77
000023,Baseline,1.000000,1.000000,1.000000,0.000000,0.696419,0.696419,858,858,0.0900,18.01
000023,A1,1.000000,1.000000,1.000000,0.000000,0.696419,0.696419,858,858,0.1475,48.56
000023,A2,0.903158,0.899394,1.000000,0.006794,0.492443,0.696419,950,858,0.0900,41.70
000023,A3,0.903158,0.899394,1.000000,0.006794,0.492443,0.696419,950,858,0.1475,71.65
000023,A4,0.869474,0.858182,0.954178,0.006794,0.492443,0.696419,918,858,0.1512,56.07
000024,Baseline,1.000000,1.000000,1.000000,0.000000,0.585235,0.585235,938,938,0.0900,18.34
000024,A1,1.000000,1.000000,1.000000,0.000000,0.585235,0.585235,938,938,0.1536,43.44
000024,A2,0.883239,0.883298,1.000000,0.009211,0.427200,0.585235,1062,938,0.0900,39.32
000024,A3,0.883239,0.883298,1.000000,0.009211,0.427200,0.585235,1062,938,0.1536,62.80
000024,A4,0.806968,0.790150,0.894545,0.009211,0.427200,0.585235,981,938,0.1571,49.28
000025,Baseline,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,1033,1033,0.0900,16.26
000025,A1,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,1033,1033,0.1580,40.94
000025,A2,0.889750,0.884802,1.000000,0.009576,0.447214,0.492443,1161,1033,0.0900,36.01
000025,A3,0.889750,0.884802,1.000000,0.009576,0.447214,0.492443,1161,1033,0.1580,57.62
000025,A4,0.770026,0.747338,0.844639,0.009576,0.447214,0.492443,1022,1033,0.1608,45.23
000026,Baseline,1.000000,1.000000,1.000000,0.000000,0.304138,0.304138,1128,1128,0.0900,13.03
000026,A1,1.000000,1.000000,1.000000,0.000000,0.304138,0.304138,1128,1128,0.1764,33.29
000026,A2,0.900958,0.899724,1.000000,0.009343,0.304138,0.304138,1252,1128,0.0900,31.59
000026,A3,0.900958,0.899724,1.000000,0.009343,0.304138,0.304138,1252,1128,0.1764,51.73
000026,A4,0.833067,0.845446,0.939673,0.009343,0.471699,0.304138,1167,1128,0.1594,47.18
000027,Baseline,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,980,980,0.0900,14.52
000027,A1,1.000000,1.000000,1.000000,0.000000,0.316228,0.316228,980,980,0.1800,35.28
000027,A2,0.847751,0.824047,1.000000,0.013115,0.304138,0.316228,1156,980,0.0900,30.75
000027,A3,0.847751,0.824047,1.000000,0.013115,0.304138,0.316228,1156,980,0.1800,50.00
000027,A4,0.413495,0.358749,0.435350,0.013115,0.304138,0.316228,654,980,0.1800,39.76
000028,Baseline,1.000000,1.000000,1.000000,0.000000,0.350000,0.350000,625,625,0.0900,15.48
000028,A1,1.000000,1.000000,1.000000,0.000000,0.350000,0.350000,625,625,0.1800,39.36
000028,A2,0.701459,0.603604,1.000000,0.019310,0.300000,0.350000,891,625,0.0900,27.99
000028,A3,0.701459,0.603604,1.000000,0.019310,0.300000,0.350000,891,625,0.1800,51.49
000028,A4,0.381594,0.295796,0.490050,0.019310,0.300000,0.350000,606,625,0.1800,42.97
000029,Baseline,1.000000,1.000000,1.000000,0.000000,0.364005,0.364005,682,682,0.0900,19.13
000029,A1,1.000000,1.000000,1.000000,0.000000,0.364005,0.364005,682,682,0.1800,63.11
000029,A2,0.791183,0.749292,1.000000,0.013121,0.316228,0.364005,862,682,0.0900,38.65
000029,A3,0.791183,0.749292,1.000000,0.013121,0.316228,0.364005,862,682,0.1800,68.07
000029,A4,0.280742,0.209632,0.279773,0.013121,0.316228,0.364005,422,682,0.1780,51.96
000030,Baseline,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,1277,1277,0.0900,19.38
000030,A1,1.000000,1.000000,1.000000,0.000000,0.492443,0.492443,1277,1277,0.1566,47.88
000030,A2,0.894884,0.892440,1.000000,0.011430,0.492443,0.492443,1427,1277,0.0900,40.69
000030,A3,0.894884,0.892440,1.000000,0.011430,0.492443,0.492443,1427,1277,0.1566,69.72
000030,A4,0.849334,0.853468,0.956332,0.011430,0.559017,0.492443,1362,1277,0.0970,57.40
000031,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1358,1358,0.0900,17.62
000031,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1358,1358,0.0500,39.61
000031,A2,0.908969,0.905702,1.000000,0.010428,0.626498,1.000000,1494,1358,0.0900,35.50
000031,A3,0.908969,0.905702,1.000000,0.010428,0.626498,1.000000,1494,1358,0.0500,61.64
000031,A4,0.886212,0.880117,0.971751,0.010428,0.626498,1.000000,1460,1358,0.0963,43.83
000032,Baseline,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1354,1354,0.0900,34.04
000032,A1,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1354,1354,0.1530,73.97
