frame,experiment,iou,lethal_iou,detection_rate,false_positive_rate,clearance_pred_m,clearance_gt_m,occupied_cells_pred,occupied_cells_gt,inflation_radius_m,timing_ms
00060,A2,0.458768,0.360094,1.000000,0.041032,0.150000,0.250000,1055,484,0.0900,102.00
00060,A3,0.458768,0.360094,1.000000,0.041032,0.150000,0.250000,1055,484,0.1783,151.97
00060,A4,0.271090,0.250295,0.695082,0.041032,0.150000,0.250000,857,484,0.1448,150.27
00065,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,482,482,0.0900,13.84
00065,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,482,482,0.1788,50.34
00065,A2,0.429590,0.331863,1.000000,0.045984,0.150000,0.250000,1122,482,0.0900,77.65
00065,A3,0.429590,0.331863,1.000000,0.045984,0.150000,0.250000,1122,482,0.1788,113.13
00065,A4,0.254011,0.228225,0.687708,0.045984,0.150000,0.250000,925,482,0.1460,110.95
00070,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,503,503,0.0900,21.35
00070,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,503,503,0.1784,64.59
00070,A2,0.429915,0.329787,1.000000,0.047996,0.150000,0.250000,1170,503,0.0900,96.55
00070,A3,0.429915,0.329787,1.000000,0.047996,0.150000,0.250000,1170,503,0.1784,141.17
00070,A4,0.249573,0.223404,0.677419,0.047996,0.150000,0.250000,959,503,0.1456,131.51
00075,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,519,519,0.0900,13.76
00075,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,519,519,0.1787,46.72
00075,A2,0.433584,0.326109,1.000000,0.048844,0.150000,0.250000,1197,519,0.0900,76.48
00075,A3,0.433584,0.326109,1.000000,0.048844,0.150000,0.250000,1197,519,0.1787,109.18
00075,A4,0.265664,0.231166,0.708861,0.048844,0.150000,0.250000,996,519,0.1451,105.26
00080,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,513,513,0.0900,14.20
00080,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,513,513,0.1790,46.32
00080,A2,0.443005,0.334045,1.000000,0.046446,0.150000,0.250000,1158,513,0.0900,77.77
00080,A3,0.443005,0.334045,1.000000,0.046446,0.150000,0.250000,1158,513,0.1790,110.11
00080,A4,0.269430,0.236926,0.709265,0.046446,0.150000,0.250000,957,513,0.1800,107.01
00085,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,491,491,0.0900,13.13
00085,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,491,491,0.1771,75.53
00085,A2,0.433363,0.335526,1.000000,0.046157,0.150000,0.250000,1133,491,0.0900,84.05
00085,A3,0.433363,0.335526,1.000000,0.046157,0.150000,0.250000,1133,491,0.1771,177.25
00085,A4,0.253310,0.232456,0.692810,0.046157,0.150000,0.250000,929,491,0.1800,158.60
00090,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.0900,15.77
00090,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.1781,49.62
00090,A2,0.485581,0.377934,1.000000,0.039847,0.150000,0.250000,1075,522,0.0900,79.54
00090,A3,0.485581,0.377934,1.000000,0.039847,0.150000,0.250000,1075,522,0.1781,113.64
00090,A4,0.282791,0.260563,0.689441,0.039847,0.150000,0.250000,857,522,0.1800,113.57
00095,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.0900,14.96
00095,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.1788,47.59
00095,A2,0.484432,0.368182,1.000000,0.040588,0.150000,0.250000,1092,529,0.0900,81.24
00095,A3,0.484432,0.368182,1.000000,0.040588,0.150000,0.250000,1092,529,0.1788,115.25
00095,A4,0.292125,0.253409,0.688272,0.040588,0.150000,0.250000,882,529,0.1800,115.69
00100,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.0900,53.55
00100,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,522,522,0.1780,94.79
00100,A2,0.451557,0.344280,1.000000,0.045684,0.111803,0.250000,1156,522,0.0900,157.84
00100,A3,0.451557,0.344280,1.000000,0.045684,0.111803,0.250000,1156,522,0.1780,201.93
00100,A4,0.278547,0.238347,0.692308,0.045684,0.111803,0.250000,956,522,0.1800,163.34
00105,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,517,517,0.0900,14.29
00105,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,517,517,0.1800,52.40
00105,A2,0.450741,0.344051,1.000000,0.045379,0.150000,0.250000,1147,517,0.0900,82.64
00105,A3,0.450741,0.344051,1.000000,0.045379,0.150000,0.250000,1147,517,0.1800,120.15
00105,A4,0.287707,0.244373,0.710280,0.045379,0.150000,0.250000,960,517,0.1473,119.38
00110,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,541,541,0.0900,13.73
00110,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,541,541,0.1800,50.22
00110,A2,0.434887,0.328780,1.000000,0.050725,0.150000,0.250000,1244,541,0.0900,83.46
00110,A3,0.434887,0.328780,1.000000,0.050725,0.150000,0.250000,1244,541,0.1800,114.37
00110,A4,0.277331,0.227317,0.691395,0.050725,0.150000,0.250000,1048,541,0.1453,113.29
00115,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,582,582,0.0900,13.52
00115,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,582,582,0.1800,46.47
00115,A2,0.478225,0.355422,1.000000,0.045955,0.150000,0.250000,1217,582,0.0900,76.88
00115,A3,0.478225,0.355422,1.000000,0.045955,0.150000,0.250000,1217,582,0.1800,110.24
00115,A4,0.294988,0.239960,0.675141,0.045955,0.150000,0.250000,994,582,0.1418,107.27
00120,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,549,549,0.0900,13.53
00120,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,549,549,0.1743,48.92
00120,A2,0.448529,0.344246,1.000000,0.048733,0.150000,0.250000,1224,549,0.0900,81.86
00120,A3,0.448529,0.344246,1.000000,0.048733,0.150000,0.250000,1224,549,0.1743,118.38
00120,A4,0.289216,0.247024,0.717579,0.048733,0.150000,0.250000,1029,549,0.1420,115.44
00125,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,516,516,0.0900,13.77
00125,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,516,516,0.1746,55.70
00125,A2,0.414458,0.309500,1.000000,0.052506,0.150000,0.250000,1245,516,0.0900,87.46
00125,A3,0.414458,0.309500,1.000000,0.052506,0.150000,0.250000,1245,516,0.1746,129.24
00125,A4,0.269076,0.229187,0.740506,0.052506,0.150000,0.250000,1064,516,0.1460,130.63
00130,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.0900,12.39
00130,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,529,529,0.1730,43.40
00130,A2,0.474014,0.360491,1.000000,0.042319,0.150000,0.250000,1116,529,0.0900,72.87
00130,A3,0.474014,0.360491,1.000000,0.042319,0.150000,0.250000,1116,529,0.1730,104.17
00130,A4,0.301075,0.260045,0.721362,0.042319,0.150000,0.250000,923,529,0.1492,102.80
00135,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,498,498,0.0900,15.20
00135,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,498,498,0.1735,47.25
00135,A2,0.393676,0.292754,1.000000,0.055172,0.150000,0.250000,1265,498,0.0900,81.58
00135,A3,0.393676,0.292754,1.000000,0.055172,0.150000,0.250000,1265,498,0.1735,113.96
00135,A4,0.236364,0.204831,0.699670,0.055172,0.150000,0.250000,1066,498,0.1478,109.65
00140,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.0900,15.14
00140,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,500,500,0.1764,59.50
00140,A2,0.374813,0.277419,1.000000,0.060000,0.111803,0.250000,1334,500,0.0900,88.87
00140,A3,0.374813,0.277419,1.000000,0.060000,0.111803,0.250000,1334,500,0.1764,134.23
00140,A4,0.209895,0.188940,0.681063,0.060000,0.111803,0.250000,1114,500,0.1414,134.10
00145,Baseline,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.0900,12.35
00145,A1,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,488,488,0.1768,48.80
